AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code ,Council District,Total Units,Total Affordable Units,Total PSH Units ,Unit Type,Tenure,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Fee in Lieu Status,Calculated Fee In Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,RHDA ,OHDA,PA Bond ,CLT,DDB,ERC,MDA,MUD,MUDB,NBG,PUDDA,PUDDB,RNY,SMART,SMART-GF,TOD,UNO,VMU,VOL,2006 GO Bond ,2013 GO Bond,CDBG,HOME,HTF,CIP,UNO TF ,Total City Funding ,LIHTC ,Longitude,Latitude,Location
321,3848,Estancia Hill Country PUD,SLF III Onion Creek LP,"Estancia Villas, LLC",Multiple Addresses,"78,652",5,918,91,,Multifamily,Rental,Certified/Loan Executed,,,40,None,,0,0,0,91,0,0,827,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.806039,30.115792,"(30.115792, -97.806039)"
363,3948,Cascades MUD,"Onion Associates, Ltd.","Onion Associates, Ltd.",Multiple Addresses,"78,747",5,0,0,,Multifamily,Rental,Project Cancelled,,,0,None,,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.788086,30.124882,"(30.124882, -97.788086)"
365,3949,Sun Chase PUD,"Qualico CR, LP","Qualico CR, LP",Multiple Addresses,"78,617",2,0,0,,Multifamily,Rental,Certified/Loan Executed,,,0,None,,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.588367,30.151357,"(30.151357, -97.588367)"
366,3953,Watersedge PUD,"MAK Marshall Ranch, L.P.","MAK Marshall Ranch, L.P.",Multiple Addresses,"78,617",2,"2,000",600,,Multifamily,Rental,Certified/Loan Executed,,,0,None,,0,0,0,0,0,600,"1,400",No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.788086,30.124882,"(30.124882, -97.788086)"
290,3770,Booth Village Apartments,Salvation Army,Salvation Army,Radam Lane,"78,745",3,40,40,,Multifamily,Rental,Project Cancelled,,,5,None,,5,0,35,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,,,
595,5377,Pathways at Chalmers Courts West,Housing Authority of the City of Austin,Housing Authority of the City of Austin,SE corner of E 4th and Chicon Street,"78,702",3,168,134,0,Multifamily,Rental,Certified/Loan Executed,,,0,None,0,13,0,54,67,0,0,34,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.723625,30.159684,"(30.159684, -97.723625)"
420,4479,1109 E 52nd Street,1209 East Apartments/Yellow 52 Investments,,Undisclosed,"78,723",4,0,0,0,Non-Residential,Ownership,Certified/Loan Executed,,,0,None,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,0,N/A,-97.708704,30.309465,"(30.309465, -97.708704)"
420,4480,1126 E 51st Street,1209 East Apartments/Yellow 52 Investments,,Undisclosed,"78,723",4,0,0,0,Non-Residential,Ownership,Certified/Loan Executed,,,0,None,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,0,N/A,-97.70808,30.308716,"(30.308716, -97.70808)"
420,4481,1200 E 51st Street,1209 East Apartments/Yellow 52 Investments,,Undisclosed,"78,723",4,0,0,0,Non-Residential,Ownership,Certified/Loan Executed,,,0,None,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,0,N/A,-97.70788,30.30853,"(30.30853, -97.70788)"
83,4482,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2017,2027,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
